SetID,SetDate,SetYear,SetMonth,SetSeason,VesselName,ProjectName,SpeciesCode,CommonName,Latitude,Longitude,PunchCardArea,RodHours,FishCount,AverageLength,MaleCount,FemaleCount,MortalityCount,RecoveryCount
2052,4/29/2014,2014,4,Spring,Top Notch,,,,48.39457,-124.6220321,PCA 4,.600000,0,,0,0,0,0
2053,4/29/2014,2014,4,Spring,Top Notch,,,,48.39635,-124.6420669,PCA 4,.300000,0,,0,0,0,0
2054,4/29/2014,2014,4,Spring,Top Notch,,,,48.39745,-124.6779174,PCA 4,1.050000,0,,0,0,0,0
2055,4/29/2014,2014,4,Spring,Top Notch,,CNRY,CANARY ROCKFISH,48.3762,-124.7388305,PCA 4,1.000000,2,26.000000,0,0,0,0
2055,4/29/2014,2014,4,Spring,Top Notch,,KLPG,KELP GREENLING,48.3762,-124.7388305,PCA 4,1.000000,1,28.000000,0,0,0,0
2055,4/29/2014,2014,4,Spring,Top Notch,,QLBK,QUILLBACK ROCKFISH,48.3762,-124.7388305,PCA 4,1.000000,3,31.000000,0,0,0,0
2055,4/29/2014,2014,4,Spring,Top Notch,,YTRK,YELLOWTAIL ROCKFISH,48.3762,-124.7388305,PCA 4,1.000000,1,23.000000,0,0,0,0
2056,4/29/2014,2014,4,Spring,Top Notch,,BLCK,BLACK ROCKFISH,48.37055,-124.7405853,PCA 4,.300000,1,40.000000,0,0,0,0
2057,4/29/2014,2014,4,Spring,Top Notch,,,,48.35803,-124.7368698,PCA 4,.350000,0,,0,0,0,0
2058,4/29/2014,2014,4,Spring,Top Notch,,VRML,VERMILION ROCKFISH,48.32342,-124.7283172,PCA 4,.666666,3,47.666666,0,0,0,0
2058,4/29/2014,2014,4,Spring,Top Notch,,YTRK,YELLOWTAIL ROCKFISH,48.32342,-124.7283172,PCA 4,.666666,2,33.500000,0,0,0,0
2059,4/29/2014,2014,4,Spring,Top Notch,,BLCK,BLACK ROCKFISH,48.31888,-124.7279663,PCA 4,1.200000,1,43.000000,0,0,0,0
2060,4/29/2014,2014,4,Spring,Top Notch,,BLCK,BLACK ROCKFISH,48.31816,-124.7251358,PCA 4,1.900000,4,45.000000,0,0,0,0
2060,4/29/2014,2014,4,Spring,Top Notch,,CNRY,CANARY ROCKFISH,48.31816,-124.7251358,PCA 4,1.900000,1,31.000000,0,0,0,0
2060,4/29/2014,2014,4,Spring,Top Notch,,COPP,COPPER ROCKFISH,48.31816,-124.7251358,PCA 4,1.900000,2,41.500000,0,0,0,0
2060,4/29/2014,2014,4,Spring,Top Notch,,VRML,VERMILION ROCKFISH,48.31816,-124.7251358,PCA 4,1.900000,1,38.000000,0,0,0,0
2060,4/29/2014,2014,4,Spring,Top Notch,,YTRK,YELLOWTAIL ROCKFISH,48.31816,-124.7251358,PCA 4,1.900000,4,32.250000,0,0,0,0
2061,4/29/2014,2014,4,Spring,Top Notch,,,,48.33472,-124.7289657,PCA 4,.700000,0,,0,0,0,0
2062,4/29/2014,2014,4,Spring,Top Notch,,,,48.3407,-124.7534866,PCA 4,.200000,0,,0,0,0,0
2063,4/29/2014,2014,4,Spring,Top Notch,,BLCK,BLACK ROCKFISH,48.35183,-124.7807693,PCA 4,.916666,6,45.833333,0,0,0,0
2063,4/29/2014,2014,4,Spring,Top Notch,,YTRK,YELLOWTAIL ROCKFISH,48.35183,-124.7807693,PCA 4,.916666,2,34.000000,0,0,0,0
2064,4/29/2014,2014,4,Spring,Top Notch,,BLCK,BLACK ROCKFISH,48.35248,-124.7822341,PCA 4,1.416666,4,42.500000,0,0,1,0
2064,4/29/2014,2014,4,Spring,Top Notch,,LCOD,LINGCOD,48.35248,-124.7822341,PCA 4,1.416666,2,65.000000,0,0,0,0
2064,4/29/2014,2014,4,Spring,Top Notch,,YTRK,YELLOWTAIL ROCKFISH,48.35248,-124.7822341,PCA 4,1.416666,1,33.000000,0,0,0,0
2065,4/29/2014,2014,4,Spring,Top Notch,,,,48.36993,-124.7404022,PCA 4,.583333,0,,0,0,0,0
2066,4/29/2014,2014,4,Spring,Top Notch,,,,48.31753,-124.7263488,PCA 4,1.333333,0,,0,0,0,0
2067,4/29/2014,2014,4,Spring,Top Notch,,,,48.32538,-124.7255172,PCA 4,.866666,0,,0,0,0,0
2068,4/29/2014,2014,4,Spring,Top Notch,,VRML,VERMILION ROCKFISH,48.33356,-124.7267837,PCA 4,.800000,1,45.000000,0,0,0,0
2069,4/29/2014,2014,4,Spring,Top Notch,,,,48.34133,-124.7297821,PCA 4,.666666,0,,0,0,0,0
2070,4/29/2014,2014,4,Spring,Top Notch,,,,48.35657,-124.7355499,PCA 4,.500000,0,,0,0,0,0
2071,4/29/2014,2014,4,Spring,Top Notch,,,,48.36953,-124.7400665,PCA 4,.166666,0,,0,0,0,0
