EncounterCode,RecoverDate,RecoverYear,RecoverMonth,RecoverSeason,RecoverVessel,RecoverProjectName,RecoverMethod,SpeciesCode,CommonName,TagCode,RecoverLength,SexDescription,RecoverTagTypeCode,RecoverMortality,RecoverLatitude,RecoverLongitude,RecoverPunchCardArea,ReleaseDate,ReleaseYear,ReleaseMonth,ReleaseSeason,ReleaseVessel,ReleaseProjectName,ReleaseMethod,ReleaseLengthCM,ReleaseTagTypeCode,ReleaseLatitude,ReleaseLongitude,ReleasePunchCardArea,DaysAtLiberty,GrowthCM,MovementMiles
PUBTAG1360,9/25/1982,1982,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,10245,42,Male,1SPG,Y,47.2221666,-124.3216666,PCA 2,7/1/1981,1981,7,Fall,Unknown,,At Sea,41,1SPGOTC,47.2258333,-124.3338333,PCA 2,451,1,0.306491919
PUBTAG1369,4/6/1983,1983,4,Spring,,,Public Return,BLCK,BLACK ROCKFISH,10360,,Unable to determine,1SPG,Y,47.2496666,-124.325,PCA 2,7/1/1981,1981,7,Fall,Unknown,,At Sea,35,1SPGOTC,47.2258333,-124.3338333,PCA 2,644,,1.992016586
PUBTAG1494,5/6/1984,1984,5,Spring,,,Public Return,BLCK,BLACK ROCKFISH,10486,44,Male,1SPG,Y,46.675,-124.2,PCA 2,7/1/1981,1981,7,Fall,Unknown,,At Sea,44,1SPGOTC,47.2258333,-124.3338333,PCA 2,1040,0,46.11628546
PUBTAG1458,10/6/1983,1983,10,Fall,,,Public Return,BLCK,BLACK ROCKFISH,1049,,Unable to determine,1SPG,Y,47.2416666,-124.3166666,PCA 2,5/7/1982,1982,5,Spring,Three Duces,,At Sea,43,1SPGOTC,47.1843333,-124.2773333,PCA 2,517,,4.792680338
DOCK6133,6/28/1986,1986,6,Spring,,,Dockside Encounter,BLCK,BLACK ROCKFISH,1061,43,Female,1SPG,Y,47.1935,-124.3216666,PCA 2,5/7/1982,1982,5,Spring,Three Duces,,At Sea,41,1SPG,47.1843333,-124.2773333,PCA 2,1513,2,0.76638263
PUBTAG1301,8/23/1981,1981,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,10707,39,Male,1SPG,Y,47.1666666,-124.275,PCA 2,7/1/1981,1981,7,Fall,Unknown,,At Sea,39,1SPGOTC,47.2258333,-124.3338333,PCA 2,53,0,4.946424139
PUBTAG1912,6/24/1987,1987,6,Spring,,,Public Return,BLCK,BLACK ROCKFISH,10751,44,Male,1SPG,Y,47.0256666,-124.3016666,PCA 2,7/1/1981,1981,7,Fall,Unknown,,At Sea,35,1SPGOTC,47.2258333,-124.3338333,PCA 2,2184,9,16.74111011
PUBTAG1376,4/14/1983,1983,4,Spring,,,Public Return,BLCK,BLACK ROCKFISH,10819,45,Unable to determine,1SPG,Y,47.3,-124.3166666,PCA 2,7/1/1981,1981,7,Fall,Unknown,,At Sea,43,1SPGOTC,47.2258333,-124.3338333,PCA 2,652,2,6.198032016
PUBTAG1322,7/1/1982,1982,7,Fall,,,Public Return,BLCK,BLACK ROCKFISH,10850,46,Unable to determine,1SPG,Y,46.3,-124.2333333,PCA 1,7/1/1981,1981,7,Fall,Unknown,,At Sea,41,1SPGOTC,47.2258333,-124.3338333,PCA 2,365,5,77.5954256
DOCK6736,9/28/1991,1991,9,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,10934,,,1SPG,Y,,,,7/1/1981,1981,7,Fall,Unknown,,At Sea,46,1SPGOTC,47.2258333,-124.3338333,PCA 2,3741,,
