OBJECTID,Hex_ID,Ter_SOC,Aq_SOC,SOC_all,LS_Cond,Intact_LS,Nat_Veg,LS_Corr,LS_merge,fH20_Int,Wet_Rip,Spp_Corr,Ter_SERI,Aq_SERI,all_SERI,CH_Rank,Ter_Rank,Aq_Rank,blk_hex,Tier2,OccurrenceName,TaxonomicClass,OccurTypeCrit,SourceDataset,SourceGeometry,LastSourceDate,LastSourceID,FederalListingStatus,StateListingStatus,SGCNIndicator,Supplemental,AbundanceType,Abundance
138895,101122,2,6,2,-1,6,1,6,1,6,6,6,6,6,6,1,1,6,1,3,Bald Eagle,Aves,n/a,eBird,point,3/4/2011 0:00,-1,n/a,n/a,Y,S7800863,Occurrence,1
138671,101122,2,6,2,-1,6,1,6,1,6,6,6,6,6,6,1,1,6,1,3,Common Loon,Aves,n/a,eBird,point,3/30/2013 0:00,-1,n/a,n/a,Y,S13597143,Occurrence,1
139085,101122,2,6,2,-1,6,1,6,1,6,6,6,6,6,6,1,1,6,1,3,Bald Eagle,Aves,n/a,eBird,point,7/15/2014 0:00,-1,n/a,n/a,Y,S19113526,Occurrence,1
138963,101122,2,6,2,-1,6,1,6,1,6,6,6,6,6,6,1,1,6,1,3,Red-necked Grebe,Aves,n/a,eBird,point,2/5/2012 0:00,-1,n/a,n/a,Y,S10807832,Occurrence,1
138760,101122,2,6,2,-1,6,1,6,1,6,6,6,6,6,6,1,1,6,1,3,Common Loon,Aves,n/a,eBird,point,2/20/2008 0:00,-1,n/a,n/a,Y,S3625671,Occurrence,1
138862,101122,2,6,2,-1,6,1,6,1,6,6,6,6,6,6,1,1,6,1,3,Common Loon,Aves,n/a,eBird,point,3/24/2010 0:00,-1,n/a,n/a,Y,S6190790,Occurrence,1
139052,101122,2,6,2,-1,6,1,6,1,6,6,6,6,6,6,1,1,6,1,3,Common Loon,Aves,n/a,eBird,point,2/24/2014 0:00,-1,n/a,n/a,Y,S17218090,Occurrence,1
138625,101122,2,6,2,-1,6,1,6,1,6,6,6,6,6,6,1,1,6,1,3,Bald Eagle,Aves,n/a,eBird,point,3/7/2010 0:00,-1,n/a,n/a,Y,S6098110,Occurrence,1
138849,101122,2,6,2,-1,6,1,6,1,6,6,6,6,6,6,1,1,6,1,3,Common Loon,Aves,n/a,eBird,point,2/24/2010 0:00,-1,n/a,n/a,Y,S6051477,Occurrence,1
138612,101122,2,6,2,-1,6,1,6,1,6,6,6,6,6,6,1,1,6,1,3,Common Loon,Aves,n/a,eBird,point,2/20/2012 0:00,-1,n/a,n/a,Y,S10085269,Occurrence,1
138951,101122,2,6,2,-1,6,1,6,1,6,6,6,6,6,6,1,1,6,1,3,Red-necked Grebe,Aves,n/a,eBird,point,4/1/2012 0:00,-1,n/a,n/a,Y,S10330092,Occurrence,1
138727,101122,2,6,2,-1,6,1,6,1,6,6,6,6,6,6,1,1,6,1,3,Bald Eagle,Aves,n/a,eBird,point,3/21/2005 0:00,-1,n/a,n/a,Y,S1926584,Occurrence,1
139019,101122,2,6,2,-1,6,1,6,1,6,6,6,6,6,6,1,1,6,1,3,Common Loon,Aves,n/a,eBird,point,4/22/2013 0:00,-1,n/a,n/a,Y,S14093446,Occurrence,1
138816,101122,2,6,2,-1,6,1,6,1,6,6,6,6,6,6,1,1,6,1,3,Common Loon,Aves,n/a,eBird,point,4/21/2009 0:00,-1,n/a,n/a,Y,S4904026,Occurrence,1
138918,101122,2,6,2,-1,6,1,6,1,6,6,6,6,6,6,1,1,6,1,3,Bald Eagle,Aves,n/a,eBird,point,3/21/2011 0:00,-1,n/a,n/a,Y,S8047057,Occurrence,1
138694,101122,2,6,2,-1,6,1,6,1,6,6,6,6,6,6,1,1,6,1,3,Common Loon,Aves,n/a,eBird,point,4/26/2014 0:00,-1,n/a,n/a,Y,S18085228,Occurrence,1
138986,101122,2,6,2,-1,6,1,6,1,6,6,6,6,6,6,1,1,6,1,3,Common Loon,Aves,n/a,eBird,point,2/14/2013 0:00,-1,n/a,n/a,Y,S13002003,Occurrence,1
138783,101122,2,6,2,-1,6,1,6,1,6,6,6,6,6,6,1,1,6,1,3,Bald Eagle,Aves,n/a,eBird,point,5/11/2008 0:00,-1,n/a,n/a,Y,S3859135,Occurrence,1
138885,101122,2,6,2,-1,6,1,6,1,6,6,6,6,6,6,1,1,6,1,3,Red-necked Grebe,Aves,n/a,eBird,point,2/2/2011 0:00,-1,n/a,n/a,Y,S7544990,Occurrence,1
